Type,Date,Event,,,,Type,Date,Label,Position
UK Politics,02/03/2022,First TRIPs Episode,,,,Event,02/03/2022,First TRIPs Episode,1
UK Politics,12/02/2022,Partygate Penalty Notice names announcement,,,,Event,12/02/2022,Partygate Penalty Notice names announcement,2
UK Politics,24/02/2022,Russia invade Ukraine,,,,Event,24/02/2022,Russia invade Ukraine,5
UK Politics,25/05/2022,Gray Report Pulished,,,,Event,25/05/2022,Gray Report Pulished,1
UK Politics,05/07/2022,UK Gov Crisis: 62 resign,,,,Event,05/07/2022,UK Gov Crisis: 62 resign,3
UK Politics,07/07/2022,Boris announces resignation,,,,Event,07/07/2022,Boris announces resignation,1
UK Sport,31/07/2022,Lioness' win Euros,,,,Event,31/07/2022,Lioness' win Euros,3
UK Politics,06/09/2022,Truss become PM,,,,Event,06/09/2022,Truss become PM,2
UK,08/09/2022,Death of Elizabeth II.,,,,Event,08/09/2022,Death of Elizabeth II.,3
UK Politics,23/07/2022,Emergency Mini-budget,,,,Podcast,23/06/2022,https://podz-content.spotifycdn.com/audio/clips/2gCt8lDlBD6TFUI6AlHCrM/clip_1282693_1335507.mp3,-1
UK Politics,25/10/2022,Sunak become PM,,,,Podcast,07/09/2022,https://podz-content.spotifycdn.com/audio/clips/1L9t4pHz3CbQmrD8sbpucL/clip_1900000_1960150.mp3,-1
Sport,25/04/2023,Burnley FC win Championship,,,,,,,
UK,02/01/2024,Storm Henk,?,,,,,,
UK Sport,,Luke Littler (16y) makes World Darts Final,,,,,,,
International Sport,Nov-22,Qatar World Cup starts,?,,,,,,
,,us mid term elctions,,,,,,,
,,trump annouce to re-run,,,,,,,
,,biden?,,,,,,,
,Feb-23,tyrkey syriua eearth quake ,,,,,,,
,Jan-23,protest against pensiion reform in france,,,,,,,
,,,,,,,,,
,,,,,,,,,
Type,Date,Label,Position,,,,,,
TRIPs,02/03/2022,First TRIPs Episode,-1,,,,,,
International,24/02/2022,Russia invade Ukraine,4,,,,,,
UK,07/07/2022,Boris announces resignation,1,,,,,,
Sport,31/07/2022,Lioness' win Euros,3.5,,,,,,
UK,06/09/2022,Truss become PM,2,,,,,,
UK,08/09/2022,Death of Elizabeth II.,3,,,,,,
Sport,20/11/2022,Qatar World Cup starts,1,,,,,,
International,07/10/2023,Hamas Attacks,2,,,,,,
Sport,25/04/2023,Burnley win Championship,3,,,,,,
International,14/03/2023,China broker Iran Saudi deal,1,,,,,,
UK,06/05/2023,Coronation of Charles III,2,,,,,,
Sport,19/11/2023,Austrailia win cricket World Cup,3,,,,,,
UK,25/10/2022,Sunak become PM,2,,,,,,
International,09/05/2023,Imran Khan arrested,1,,,,,,
International,28/06/2023,Paris Riots,2,,,,,,
International,15/11/2022,Trumps annouces candidacy,3,,,,,,
